,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,5,ὅδε,Ancient_Greek,DET,175,yes,-6.6819,8.1577,-0.1739,0.3808,0.719,0.6598,5,4,3,2
1,6,ὡς,Ancient_Greek,ADV,46,yes,-4.354,0.4813,3.1935,0.4514,0.4497,0.854,4,3,3,2
2,8,ὁ,Ancient_Greek,ADJ,306,yes,-19.2365,-12.336,4.4381,0.0,0.0,0.9258,3,2,2,2
3,9,γίγνομαι,Ancient_Greek,VERB,19,yes,-14.4814,-10.17,3.6834,0.1442,0.076,0.8823,3,2,2,2
4,10,ἐκ,Ancient_Greek,ADP,20,yes,-10.4027,1.5543,-0.7769,0.2679,0.4873,0.625,5,4,3,2
5,11,ἄνθρωπος,Ancient_Greek,NOUN,74,yes,-2.247,-0.7304,2.6477,0.5153,0.4072,0.8226,4,3,3,2
6,12,χρόνος,Ancient_Greek,NOUN,78,yes,-2.38,-2.0084,-1.4381,0.5113,0.3623,0.5869,4,3,3,2
7,2056,μίλητος,Ancient_Greek,PROPN,230,yes,2.3539,-1.0182,-4.0085,0.6548,0.3971,0.4386,1,1,1,1
8,14,ἔργον,Ancient_Greek,NOUN,177,yes,-0.2723,-1.4027,-0.1707,0.5752,0.3836,0.66,4,3,3,2
9,15,μέγας,Ancient_Greek,ADJ,40,yes,-2.775,-3.1036,-0.6872,0.4993,0.3239,0.6302,4,3,3,2
10,16,τε,Ancient_Greek,ADV,460,yes,-10.2741,-4.0274,2.2051,0.2718,0.2915,0.797,5,4,3,2
11,17,καί,Ancient_Greek,ADV,22,yes,-15.5859,-9.8978,5.7237,0.1107,0.0855,1.0,3,2,2,2
12,19,ὁ,Ancient_Greek,ADJ,306,yes,-9.3256,-4.309,3.5847,0.3006,0.2816,0.8766,5,4,3,2
13,20,μέν,Ancient_Greek,ADV,6,yes,-8.5851,-2.2627,3.1127,0.3231,0.3534,0.8494,5,4,3,2
14,21,ἕλλην,Ancient_Greek,NOUN,70,yes,-0.3493,-1.4358,3.4262,0.5729,0.3824,0.8675,4,3,3,2
15,22,δέ,Ancient_Greek,ADV,2,yes,-13.4013,-7.1702,5.4272,0.177,0.1812,0.9829,3,2,2,2
16,2067,χῖος,Ancient_Greek,NOUN,445,yes,9.8051,-2.3412,-1.4171,0.8808,0.3506,0.5881,2,1,1,1
17,24,ἀποδείκνυμι,Ancient_Greek,VERB,251,yes,-1.4154,0.3083,2.3241,0.5405,0.4436,0.8039,4,3,3,2
18,26,ἄλλος,Ancient_Greek,DET,162,yes,-6.6719,-2.757,1.374,0.3811,0.3361,0.7491,5,4,3,2
