,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,as,Irish,ADP,27,yes,-5.1859,0.6403,-0.0976,0.379,0.453,0.3669,3,3,2,2
1,2,lár,Irish,NOUN,332,yes,2.8893,2.0799,6.1207,0.5882,0.4901,0.6219,2,2,1,1
2,3,an,Irish,PART,169,yes,-12.9413,6.7406,-2.1778,0.1781,0.6099,0.2816,3,3,2,2
3,5,is,Irish,PART,109,yes,-8.2622,4.7409,0.0221,0.2993,0.5585,0.3718,3,3,2,2
4,6,ea,Irish,PRON,333,yes,2.3446,-0.6026,-0.0649,0.5741,0.4211,0.3682,1,1,1,1
5,9,sula,Irish,SCONJ,271,yes,4.9289,0.1028,0.8831,0.6411,0.4392,0.4071,1,1,1,1
6,10,téigh,Irish,VERB,64,yes,-7.2999,4.0247,-0.6985,0.3242,0.5401,0.3422,3,3,2,2
7,11,sí,Irish,PRON,46,yes,-1.2046,-0.2549,-1.1706,0.4821,0.43,0.3229,2,2,1,1
8,12,a,Irish,PRON,400,yes,-7.1335,2.6011,-1.0073,0.3285,0.5035,0.3296,3,3,2,2
9,14,i,Irish,PART,171,yes,-11.1756,7.3739,-2.4715,0.2238,0.6262,0.2695,3,3,2,2
10,16,thiar,Irish,ADV,361,yes,7.3208,-0.0524,0.0032,0.703,0.4352,0.371,1,1,1,1
11,17,ó,Irish,SCONJ,309,yes,-6.0784,2.438,-0.38,0.3559,0.4993,0.3553,3,3,2,2
12,19,anuas,Irish,ADV,247,yes,5.5902,0.4585,0.4891,0.6582,0.4484,0.3909,1,1,1,1
13,2068,mícheál,Irish,PROPN,497,yes,1.9407,0.9472,3.6025,0.5636,0.4609,0.5186,2,2,1,1
14,21,solas,Irish,NOUN,385,yes,2.8126,-0.5993,-3.0646,0.5862,0.4212,0.2452,1,1,1,1
15,22,ní,Irish,NOUN,339,yes,0.904,-0.0662,-1.7409,0.5368,0.4349,0.2995,2,2,1,1
16,23,bí,Irish,VERB,2,yes,-19.8137,21.909,-7.9538,0.0,1.0,0.0447,3,3,2,2
17,24,ar,Irish,VERB,292,yes,-11.48,8.2437,-1.8308,0.2159,0.6486,0.2958,3,3,2,2
18,25,fáil,Irish,NOUN,83,yes,-1.9392,1.6628,0.5803,0.4631,0.4793,0.3947,2,2,1,1
19,26,ach,Irish,SCONJ,16,yes,-5.522,2.3112,-1.5929,0.3703,0.496,0.3056,3,3,2,2
20,27,oiread,Irish,NOUN,170,yes,-0.0059,0.7282,-2.0231,0.5132,0.4553,0.2879,2,2,1,1
21,28,oíche,Irish,NOUN,156,yes,0.4219,1.2013,-0.0959,0.5243,0.4675,0.367,2,2,1,1
22,29,nó,Irish,CCONJ,24,yes,-5.3612,1.8651,1.0091,0.3744,0.4845,0.4123,3,3,2,2
23,30,mar,Irish,SCONJ,51,yes,-3.1304,1.6078,-0.0614,0.4322,0.4779,0.3684,2,2,1,1
24,2071,foghlaim,Irish,NOUN,496,yes,1.6803,0.6184,-2.1612,0.5569,0.4525,0.2823,1,1,1,1
25,34,ansin,Irish,ADV,111,yes,-0.2056,0.0508,-0.3882,0.508,0.4379,0.355,2,2,1,1
26,35,deas,Irish,ADJ,296,yes,2.682,0.3027,4.4661,0.5828,0.4444,0.554,2,2,1,1
27,36,mar,Irish,SCONJ,51,yes,-0.2151,0.0252,-1.4405,0.5078,0.4372,0.3118,2,2,1,1
28,37,scéal,Irish,NOUN,80,yes,-2.278,2.2091,-0.9788,0.4543,0.4934,0.3307,2,2,1,1
29,38,ag,Irish,ADP,8,yes,-8.6524,4.1055,-1.4544,0.2892,0.5421,0.3112,3,3,2,2
30,41,é,Irish,PRON,15,yes,-6.5337,3.0241,-2.2312,0.3441,0.5143,0.2794,3,3,2,2
31,2090,máirtín,Irish,PROPN,498,yes,1.3943,-0.3212,3.5,0.5495,0.4283,0.5144,2,2,1,1
32,43,agus,Irish,SCONJ,42,yes,-11.4278,9.011,-2.9138,0.2173,0.6683,0.2514,3,3,2,2
33,45,le,Irish,ADP,7,yes,-10.2744,5.9764,-3.0496,0.2472,0.5903,0.2458,3,3,2,2
34,48,mo,Irish,DET,60,yes,-7.1674,-4.9148,-0.1081,0.3277,0.3102,0.3664,4,4,3,2
35,50,go,Irish,NOUN,416,yes,-4.682,0.4865,1.7732,0.392,0.4491,0.4436,2,2,1,1
36,51,sin,Irish,DET,21,yes,-5.4789,2.7985,-1.2307,0.3714,0.5085,0.3204,3,3,2,2
37,55,do,Irish,DET,145,yes,-1.5376,-0.2367,-2.1045,0.4735,0.4305,0.2846,2,2,1,1
38,56,fág,Irish,VERB,158,yes,-4.1333,1.2935,0.0576,0.4063,0.4698,0.3732,3,3,2,2
39,57,tú,Irish,PRON,122,yes,-0.1064,0.5298,0.0803,0.5106,0.4502,0.3742,2,2,1,1
40,2108,cúram,Irish,NOUN,494,yes,2.9118,0.1405,-1.7625,0.5888,0.4402,0.2986,1,1,1,1
41,61,áit,Irish,NOUN,77,yes,-1.9331,1.9528,-0.2005,0.4633,0.4868,0.3627,2,2,1,1
42,63,do,Irish,DET,145,yes,-8.7069,3.3014,-1.6952,0.2878,0.5215,0.3014,3,3,2,2
43,66,cuir,Irish,VERB,32,yes,-9.3946,6.2461,-3.2643,0.2699,0.5972,0.237,3,3,2,2
44,67,sé,Irish,NUM,489,yes,-4.0859,-0.0346,-1.2239,0.4075,0.4357,0.3207,3,3,2,2
45,68,seo,Irish,PRON,81,yes,-2.5145,1.2359,-0.3626,0.4482,0.4684,0.356,2,2,1,1
46,70,níos,Irish,PART,78,yes,-3.4462,-2.9943,2.3846,0.4241,0.3596,0.4687,4,4,3,2
47,71,maith,Irish,ADJ,37,yes,-3.9848,1.9237,-0.827,0.4101,0.486,0.337,3,3,2,2
48,2122,clann,Irish,NOUN,297,yes,0.9148,0.7,1.4137,0.5371,0.4546,0.4288,2,2,1,1
49,75,dócha,Irish,ADJ,449,yes,3.4688,0.2774,3.4212,0.6032,0.4437,0.5112,2,2,1,1
50,2123,tráth,Irish,NOUN,373,yes,3.4286,-0.09,-1.0221,0.6022,0.4343,0.329,1,1,1,1
51,77,éigin,Irish,ADJ,201,yes,-3.5814,-3.743,-1.0428,0.4206,0.3403,0.3281,4,4,3,2
52,78,litir,Irish,NOUN,366,yes,-0.322,-0.1179,0.2226,0.505,0.4335,0.38,2,2,1,1
53,76,céad,Irish,NUM,79,yes,-5.3185,-2.8391,-1.1342,0.3756,0.3636,0.3244,4,4,3,2
54,81,cad,Irish,PRON,175,yes,-0.9852,0.0264,1.2585,0.4878,0.4372,0.4225,2,2,1,1
55,82,méid,Irish,NOUN,115,yes,-2.2108,2.1205,-0.0009,0.4561,0.4911,0.3708,2,2,1,1
56,85,déanta,Irish,ADJ,168,yes,1.1928,-0.2093,3.7896,0.5443,0.4312,0.5263,2,2,1,1
57,87,go,Irish,NOUN,416,yes,-5.2401,1.4805,2.6926,0.3776,0.4746,0.4813,3,3,2,2
58,88,dtí,Irish,NOUN,89,yes,-4.6813,-13.2865,-4.1948,0.3921,0.0949,0.1989,5,4,3,2
59,91,gan,Irish,ADP,63,yes,-3.3484,0.6906,1.2061,0.4266,0.4543,0.4203,2,2,1,1
60,94,beag,Irish,ADJ,84,yes,-2.2913,0.5573,1.2828,0.454,0.4509,0.4235,2,2,1,1
